Start-Datum;End-Datum;Name;Turnierart;Ordnungsnummer;Land;Ort;Region;Offener-Turniername;Veranstalter;Kategorie;Meldeschluss;Turnier-Link;Ausschreibung-Link;Ausschreibung-PDF;AK_U9;AK_U11;AK_U13;AK_U15;AK_U17;AK_U19;AK_U22;AK_O19;AK_O35
09.02.2021;09.02.2021;1. E-RLT NRW Süd 2 U11-U19 (1. Bezirks-ERLT Ost Süd 2);Rangliste;1;DE;Wermelskirchen;Süd 2;1. Bezirks-ERLT Ost Süd 2;NRW;E-Level;29.01.2021;https://www.turnier.de/sport/tournament?id=A4A6A09F-5389-4DED-AF0C-3E5DD33D5BA4;;ja;;Einzel;Einzel;Einzel;Einzel;Einzel;;;
09.02.2021;09.02.2021;1. D-RLT NRW Süd 1 U11-U15 (1. Beirks- ERLT Süd 1);Rangliste;1;DE;Solingen;Süd 1;1. Beirks- ERLT Süd 1;NRW;D1-Level;29.01.2021;https://www.turnier.de/sport/tournament?id=B55DF413-2D35-4E12-985B-AC2D074BCB2D;;ja;;Einzel;Einzel;Einzel;;;;;
09.02.2021;09.02.2021;1. D-RLT NRW Süd 1 U17/U19 (1. Beirks- ERLT Süd 1);Rangliste;1;DE;Hilden;Süd 1;1. Beirks- ERLT Süd 1;NRW;D1-Level;29.01.2021;https://www.turnier.de/sport/tournament?id=BBDA76D4-645E-46CF-BD4E-C0397E4653FA;;ja;;;;;Einzel;Einzel;;;
09.02.2021;09.02.2021;1. C-RLT BAY U11;Rangliste;1;DE;Trostberg;;;BAY;C1-Level;28.01.2021;https://www.turnier.de/sport/tournament?id=6C5B9D21-2CA5-4D97-9E4F-9573B2F76762;;ja;;Einzel/Doppel;;;;;;;
09.02.2021;09.02.2021;1. D-RLT NRW Nord 2 U11-U15 (1. D-ERLT Nord 2 (Bezirks-ERLT));Rangliste;1;DE;Warendorf;Nord 2;1. D-ERLT Nord 2 (Bezirks-ERLT);NRW;D1-Level;29.01.2021;https://www.turnier.de/sport/tournament?id=791E48D7-468D-478A-B560-094CC19438C2;https://www.badminton-nrw.de/index.php?id=1731;nein;;Einzel;Einzel;Einzel;;;;;
09.02.2021;09.02.2021;1. D-RLT NRW Nord 2 U17/U19 (1. D-ERLT Nord 2 (Bezirks-ERLT));Rangliste;1;DE;Herscheid;Nord 2;1. D-ERLT Nord 2 (Bezirks-ERLT);NRW;D1-Level;29.01.2021;https://www.turnier.de/sport/tournament?id=66DD32D4-ADCA-4918-92C3-3AADD063C9A8;https://www.badminton-nrw.de/index.php?id=1731;nein;;;;;Einzel;Einzel;;;
09.02.2021;09.02.2021;1. D-RLT NRW Nord 1 U11-U19 (1. Bezirks-ERLT);Rangliste;1;DE;Rheine;Nord 1;1. Bezirks-ERLT;NRW;D1-Level;29.01.2021;https://dbv.turnier.de/sport/tournament?id=DA61BEB1-0384-46C7-AC70-758338B111D9;https://www.badminton-nrw.de/fileadmin/jbezirkn1/RLT/2021/Turnierausschreibungen_2021_homepage.pdf;ja;;Einzel;Einzel;Einzel;Einzel;Einzel;;;
09.02.2021;09.02.2021; D-RLT SAC Chemnitz U15/U19;Rangliste;;DE;Meerane;Chemnitz;;SAC;D2-Level;26.01.2021;https://www.turnier.de/sport/tournament?id=E5F15AB7-ACC5-4C3F-A5D6-03B29E42AAE4;http://rvc.bvsachsen.de/ausschreibungen/Ausschreibung_RRL_Nachwuchs_2021.pdf;nein;;;;Doppel/Mixed;;Doppel/Mixed;;;
10.02.2021;12.02.2021;VICTOR Oceania Championships 2021;Rangliste;;AUS;Ballarat;;;BWF;Continental Individual Championships;;;;nein;;;;;;;;Einzel/Doppel/Mixed;
14.02.2021;16.02.2021;All Africa Individual Championships 2021;Rangliste;;EGY;Cairo;;;BWF;Continental Individual Championships;;;;nein;;;;;;;;Einzel/Doppel/Mixed;
